Topic,Impact_Factor
intercarrier interference,0.7943802212659979
microstrip patch antenna,0.7601886952876572
ip multimedia subsystem,0.7576751687016346
dijkstras algorithm,0.7548420574746917
recursive least square algorithm,0.7537715982607789
requirement analysis,0.7526589306244404
least square support vector machine,0.743356268301682
short message service,0.742779118678229
underactuated system,0.7395617289248815
multihop wireless network,0.7342160870357406
requirement elicitation,0.7313416871827575
minimum mean squared error,0.7240307668924234
database management system,0.7224601075869168
picture archiving and communication system,0.7204798122163443
unequal error protection,0.7168746676775786
online community,0.7024902587332619
wiener filter,0.6914620268061538
near field communication,0.6899767413605942
serviceoriented computing,0.6809167113890826
test sample,0.67959533817997
training sample,0.67959533817997
congenial access control,0.6786506854804508
architecture viewpoint,0.6785916781874587
rayleighfading channel,0.6766591145286095
rayleigh fading channel,0.6766591145286095
multiprocessor,0.675227162454608
multimodal interface,0.6691244621163661
factor graph,0.6680826154224404
semantic description,0.6668746676775785
communicating sequential process,0.6664156715147246
zeroforcing beamforming,0.6585346284354953
vector space model,0.6579156258968126
semantic search engine,0.6546770325207307
histogram of oriented gradient,0.651490604044911
utility function,0.646539806831684
directional antenna,0.6464556017752026
clinical decision support system,0.6459846159378682
commonsense knowledge,0.6459846159378682
color histogram,0.6455822607058753
message authentication code,0.6454074663144151
random number generator,0.6449415107777283
multiview video,0.6414620268061537
virtual keyboard,0.6374832143937321
classifier ensemble,0.6370383896376324
directed acyclic graph,0.6364810113736308
malicious code,0.6363186098233339
cdma system,0.6358508239933455
digital subscriber line,0.6357414601998809
honeypot,0.6357414601998809
spyware,0.6357414601998809
network congestion,0.6352865886120778
architecturesupporting activity,0.6347093473391299
receive antenna,0.6344243683278056
modelocked laser,0.6328104118608249
reconfigurable antenna,0.6326856756626322
satellite system,0.6322475083898667
subcarrier allocation,0.6301844009397897
state feedback controller,0.6292555627352518
multiple signal classification,0.6287715982607789
indoor navigation,0.6279642266866116
user profile,0.6276589306244404
successive interference cancellation,0.6272030838597082
radio frequency,0.6271925768987107
apriori algorithm,0.6268218935765458
superscalar processor,0.625646738137499
blind estimation,0.6250727490482556
sea clutter,0.6250727490482556
temporal correlation,0.6250727490482556
coding gain,0.6250727490482556
training sequence,0.6250727490482556
detection of moving object,0.6243829635502829
embodied agent,0.623173751507583
rls algorithm,0.6227995000103677
sift feature,0.6227970542563693
mobile environment,0.621539806831684
planar antenna,0.6195403145672072
weight distribution,0.6189170015503543
componentbased software architecture,0.6189104543690198
key establishment,0.6186126074070615
communication protocol,0.6185870719587188
collective communication,0.6185870719587188
microblogging,0.6184379626424428
random number,0.617779118678229
lookup table,0.6168146796504537
multiplier,0.6162715982607789
fast handover,0.6162240520028047
fault attack,0.6162240520028047
